Date,Price,Open,High,Low,Vol.,Change %
1/11/2024,69938.70 ,70278.7,71598.4,66834,454.96K,-0.49%
1/10/2024,70281.80 ,63329.9,73569.4,59075.7,2.56M,10.96%
1/9/2024,63339.20 ,58975.7,66440.7,52644.6,2.34M,7.39%
1/8/2024,58978.60 ,64625.7,65587.9,49486.9,2.56M,-8.74%
1/7/2024,64626.00 ,62768.8,70000.2,53883.4,2.06M,2.98%
1/6/2024,62754.30 ,67533.9,71956.5,58589.9,1.60M,-7.07%
1/5/2024,67530.10 ,60665,71872,56643.5,2.10M,11.31%
1/4/2024,60666.60 ,71329.3,72710.8,59228.7,2.66M,-14.95%
1/3/2024,71332.00 ,61157.3,73740.9,60138.2,2.70M,16.61%
1/2/2024,61169.30 ,42580.1,63915.3,41890.5,1.74M,43.66%
1/1/2024,42580.50 ,42272.5,48923.7,38546.9,2.03M,0.73%
1/12/2023,42272.50 ,37712.9,44697.6,37618.3,1.63M,12.09%
1/11/2023,37712.90 ,34648.3,38400.8,34124.2,1.48M,8.84%
1/10/2023,34650.60 ,26962.5,35191.4,26558.4,1.61M,28.51%
1/9/2023,26962.70 ,25938.3,27480.7,24923.1,1.15M,3.95%
1/8/2023,25937.30 ,29232.3,30168.6,25481.9,1.34M,-11.27%
1/7/2023,29232.40 ,30472.9,31764.5,28890.7,1.23M,-4.07%
1/6/2023,30472.90 ,27216.4,31395.4,24838,1.77M,11.97%
1/5/2023,27216.10 ,29252.1,29816.4,25853.1,1.66M,-6.96%
1/4/2023,29252.10 ,28473.7,30964.9,27054.3,2.03M,2.73%
1/3/2023,28473.70 ,23130.6,29160.4,19591.8,10.26M,23.10%
1/2/2023,23130.50 ,23124.7,25236.8,21418.7,9.09M,0.02%
1/1/2023,23125.10 ,16537.5,23952.9,16499.7,8.98M,39.83%
1/12/2022,16537.40 ,17163.4,18351.8,16331.2,6.61M,-3.65%
1/11/2022,17163.90 ,20496.1,21464.7,15504.2,10.30M,-16.26%
1/10/2022,20496.30 ,19422.9,21038.1,18207.9,8.29M,5.53%
1/9/2022,19423.00 ,20049.9,22702.5,18191.8,10.91M,-3.10%
1/8/2022,20043.90 ,23303.4,25205.7,19542.9,6.55M,-13.99%
1/7/2022,23303.40 ,19926.6,24605.3,18794.4,5.79M,16.95%
1/6/2022,19926.60 ,31793.1,31969.9,17630.5,3.79M,-37.32%
1/5/2022,31793.40 ,37642,40021,26500.5,4.67B,-15.56%
1/4/2022,37650.00 ,45529,47435,37596,12.14B,-17.30%
1/3/2022,45525.00 ,43187.2,48199,37182.1,43.70B,5.41%
1/2/2022,43188.20 ,38475.6,45755.2,34357.4,1.82M,12.18%
1/1/2022,38498.60 ,46217.5,47944.9,32985.6,2.03M,-16.70%
1/12/2021,46219.50 ,56891.7,59064.3,42587.8,1.90M,-18.75%
1/11/2021,56882.90 ,61310.1,68990.6,53448.3,1.85M,-7.22%
1/10/2021,61309.60 ,43824.4,66967.1,43292.9,2.18M,39.90%
1/9/2021,43823.30 ,47129.2,52885.3,39646.8,2.21M,-7.02%
1/8/2021,47130.40 ,41510,50498.8,37365.4,2.14M,13.42%
1/7/2021,41553.70 ,35030.7,42285.3,29310.2,2.44M,18.63%
1/6/2021,35026.90 ,37294.3,41318,28901.8,4.14M,-6.09%
1/5/2021,37298.60 ,57719.1,59523.9,30261.7,5.33M,-35.38%
1/4/2021,57720.30 ,58763.2,64778,47098.5,2.97M,-1.78%
1/3/2021,58763.70 ,45160.5,61795.8,45008.8,3.01M,30.11%
1/2/2021,45164.00 ,33106.8,58335.1,32324.9,4.01M,36.41%
1/1/2021,33108.10 ,28951.7,41921.7,28204.5,5.50M,14.37%
1/12/2020,28949.40 ,19697.8,29298.8,17600.1,3.85M,46.97%
1/11/2020,19698.10 ,18394.6,19831.2,16235.2,4.05M,42.77%
1/10/2020,13797.30 ,10776.6,14065.4,10387.6,2.41M,28.04%
1/9/2020,10776.10 ,11644.2,12045.9,9877.1,83.88M,-7.46%
1/8/2020,11644.20 ,11333.2,12444.1,10730.7,15.39M,2.74%
1/7/2020,11333.40 ,10961.1,11434.8,10771.8,13.21M,24.06%
1/6/2020,9135.40 ,9454.5,10301.8,8865.3,15.35M,-3.38%
1/5/2020,9454.80 ,8628.6,10033,8235.6,38.48M,9.57%
1/4/2020,8629.00 ,6412.4,9437.5,6157.4,39.41M,34.56%
1/3/2020,6412.50 ,8543.8,9180.8,3869.5,48.24M,-24.94%
1/2/2020,8543.70 ,9349.3,10482.6,8543.7,23.76M,-8.62%
1/1/2020,9349.10 ,7196.4,9569,6884.1,23.56M,29.91%
1/12/2019,7196.40 ,7546.5,7702.2,6462.2,21.03M,-4.64%
1/11/2019,7546.60 ,9153.1,9500.4,6534.8,21.33M,-17.55%
1/10/2019,9152.60 ,8285,10540,7329.2,19.93M,10.48%
1/9/2019,8284.30 ,9594.7,10896.2,7749,13.58M,-13.65%
1/8/2019,9594.40 ,10081.9,12291.9,9343,17.53M,-4.84%
1/7/2019,10082.00 ,10821.4,13134.4,9082.6,23.61M,-6.81%
1/6/2019,10818.60 ,8556.9,13929.8,7480.4,22.96M,26.41%
1/5/2019,8558.30 ,5321.1,9045.9,5319.5,44.06M,60.85%
1/4/2019,5320.80 ,4102.3,5594.4,4076.8,54.03M,29.70%
1/3/2019,4102.30 ,3816.7,4138.1,3681.8,81.62M,7.49%
1/2/2019,3816.60 ,3437.7,4194.2,3382.5,23.13M,11.04%
1/1/2019,3437.20 ,3709.5,4070.5,3368.2,15.72M,-7.34%
1/12/2018,3709.40 ,4038.7,4316.1,3177,15.70M,-8.18%
1/11/2018,4039.70 ,6365.9,6594.3,3634.2,8.71M,-36.54%
1/10/2018,6365.90 ,6635.2,7358.4,6034.9,58.80M,-4.06%
1/9/2018,6635.20 ,7032.4,7409.9,5977,154.15M,-5.67%
1/8/2018,7033.80 ,7728.5,7753.2,5898.3,63.25M,-9.00%
1/7/2018,7729.40 ,6398.5,8484.6,6398.5,7.06M,20.79%
1/6/2018,6398.90 ,7502.5,7775,5785.3,4.78M,-14.71%
1/5/2018,7502.60 ,9245.1,9992.8,7069.8,5.04M,-18.85%
1/4/2018,9245.10 ,6939.1,9753.1,6460.1,6.22M,33.25%
1/3/2018,6938.20 ,10335.1,11506.9,6603.8,7.61M,-32.86%
1/2/2018,10333.90 ,10266.2,11791.5,5996.6,8.54M,0.67%
1/1/2018,10265.40 ,13850.5,17252.8,9271.3,4.84M,-25.88%
1/12/2017,13850.40 ,9947.1,19870.6,9420.9,5.12M,39.25%
1/11/2017,9946.80 ,6449.1,11417.8,5493.6,3.96M,54.18%
1/10/2017,6451.20 ,4360.6,6467.2,4143.4,2.98M,47.94%
1/9/2017,4360.60 ,4735.1,4976.5,2979.9,3.93M,-7.91%
1/8/2017,4735.10 ,2883.3,4765.1,2659.6,3.13M,64.23%
1/7/2017,2883.30 ,2480.6,2932.8,1809,3.75M,16.23%
1/6/2017,2480.60 ,2303.3,2985.1,2125.6,3.35M,7.70%
1/5/2017,2303.30 ,1351.9,2781.8,1342.8,3.45M,70.38%
1/4/2017,1351.90 ,1079.1,1358.9,841.5,1.56M,25.28%
1/3/2017,1079.10 ,1189.3,1330.4,890.4,2.68M,-9.26%
1/2/2017,1189.30 ,965.5,1211.7,924.7,1.31M,23.18%
1/1/2017,965.50 ,963.4,1150.6,739.5,2.21M,0.22%
1/12/2016,963.40 ,742.5,982.6,741.1,1.27M,29.75%
1/11/2016,742.50 ,698.7,755.3,670.4,1.23M,6.27%
1/10/2016,698.70 ,608.1,720.2,606.5,905.66K,14.89%
1/9/2016,608.10 ,573.9,705,569.3,748.55K,5.97%
1/8/2016,573.90 ,621.9,627.9,471.4,1.08M,-7.72%
1/7/2016,621.90 ,670,701.5,605,1.63M,-7.19%
1/6/2016,670.00 ,528.9,776,521.3,3.55M,26.68%
1/5/2016,528.90 ,448.5,548,435.4,1.66M,17.92%
1/4/2016,448.50 ,415.7,468.9,412.4,1.39M,7.91%
1/3/2016,415.70 ,436.2,439,386.9,1.66M,-4.71%
1/2/2016,436.20 ,369.8,447.6,365.3,1.99M,17.95%
1/1/2016,369.80 ,430,462.9,350.4,2.49M,-13.98%
1/12/2015,430.00 ,378,467.7,347.2,3.20M,13.75%
1/11/2015,378.00 ,311.2,492.8,292.4,4.29M,21.44%
1/10/2015,311.20 ,235.9,334.9,234.7,2.28M,31.92%
1/9/2015,235.90 ,229.5,246.4,224.1,1.65M,2.82%
1/8/2015,229.50 ,283.7,285.7,196.3,2.22M,-19.12%
1/7/2015,283.70 ,264.1,315.9,243.2,1.86M,7.42%
1/6/2015,264.10 ,229.8,268.7,221,1.75M,14.91%
1/5/2015,229.80 ,235.8,247.9,228.2,1.64M,-2.52%
1/4/2015,235.80 ,244.1,261.5,214.1,2.07M,-3.43%
1/3/2015,244.10 ,254.1,301,234.8,2.97M,-3.90%
1/2/2015,254.10 ,218.5,264.6,209.7,2.09M,16.27%
1/1/2015,218.50 ,318.2,321.4,157.3,1.56M,-31.34%
1/12/2014,318.20 ,374.9,384.9,303.4,847.29K,-15.12%
1/11/2014,374.90 ,337.9,480.5,319.8,711.11K,10.97%
1/10/2014,337.90 ,388.2,407.7,294.9,569.00K,-12.96%
1/9/2014,388.20 ,481.8,498.5,372.6,295.62K,-19.43%
1/8/2014,481.80 ,589.5,608.2,450,126.17K,-18.28%
1/7/2014,589.50 ,635.1,652.5,564,107.22K,-7.18%
1/6/2014,635.10 ,627.9,676.5,560.8,111.81K,1.15%
1/5/2014,627.90 ,445.6,629,420.2,85.75K,40.90%
1/4/2014,445.60 ,444.7,549,355.7,161.16K,0.22%
1/3/2014,444.70 ,573.9,695.4,262.8,94.27K,-22.53%
1/2/2014,573.90 ,938.8,969.2,91.7,996.35K,-38.87%
1/1/2014,938.80 ,805.9,1093.4,771,306.25K,16.49%
1/12/2013,805.90 ,1205.7,1239.9,454.9,920.80K,-33.15%
1/11/2013,1205.70 ,211.2,1241.9,209.7,1.13M,470.94%
1/10/2013,211.20 ,141.9,233.4,109.7,753.58K,48.82%
1/9/2013,141.90 ,141,148.9,121.3,451.29K,0.64%
1/8/2013,141.00 ,106.2,148.7,101,604.91K,32.76%
1/7/2013,106.20 ,97.5,111.7,65.4,1.14M,8.92%
1/6/2013,97.50 ,128.8,130.1,88,1.05M,-24.31%
1/5/2013,128.80 ,139.2,140.1,79,2.07M,-7.48%
1/4/2013,139.20 ,93,266,50,4.73M,49.66%
1/3/2013,93.00 ,33.4,95.7,32.9,2.12M,178.70%
1/2/2013,33.40 ,20.4,34.5,18,1.58M,63.55%
1/1/2013,20.40 ,13.5,21.4,13.2,1.46M,51.07%
1/12/2012,13.50 ,12.6,13.9,12.4,876.92K,7.48%
1/11/2012,12.60 ,11.2,12.6,10.3,804.19K,12.23%
1/10/2012,11.20 ,12.4,13.1,9.7,1.15M,-9.68%
1/9/2012,12.40 ,10.2,12.7,9.7,959.78K,22.05%
1/8/2012,10.20 ,9.4,15.4,7.6,2.45M,8.66%
1/7/2012,9.40 ,6.7,9.7,6.4,1.90M,39.76%
1/6/2012,6.70 ,5.2,6.8,5.2,1.38M,29.15%
1/5/2012,5.20 ,4.9,5.2,4.8,1.24M,4.65%
1/4/2012,4.90 ,4.9,5.5,4.6,1.66M,0.00%
1/3/2012,4.90 ,4.9,5.4,4.3,1.76M,0.00%
1/2/2012,4.90 ,5.5,6.2,3.9,2.84M,-11.31%
1/1/2012,5.50 ,4.7,7.2,4.6,3.21M,16.10%
1/12/2011,4.70 ,3,5,2.6,1.90M,58.92%
1/11/2011,3.00 ,3.3,3.4,2,1.97M,-8.62%
1/10/2011,3.30 ,5.1,5.3,2,1.73M,-36.77%
1/9/2011,5.10 ,8.2,8.7,4.2,1.49M,-37.32%
1/8/2011,8.20 ,13.4,13.6,5.7,1.22M,-38.58%
1/7/2011,13.40 ,16.1,16.7,11,1.05M,-17.08%
1/6/2011,16.10 ,8.7,31.9,8.3,1.36M,84.21%
1/5/2011,8.70 ,3.5,9.5,2.5,949.02K,149.71%
1/4/2011,3.50 ,0.8,4.2,0.6,868.76K,346.09%
1/3/2011,0.80 ,0.9,1,0.7,243.30K,-8.77%
1/2/2011,0.90 ,0.5,1.1,0.5,367.30K,65.38%
1/1/2011,0.50 ,0.3,0.9,0.3,377.75K,73.33%
1/12/2010,0.30 ,0.2,0.3,0.2,263.65K,44.09%
1/11/2010,0.20 ,0.2,0.5,0.1,826.25K,0.00%
1/10/2010,0.20 ,0.1,0.2,0,1.11M,210.99%
1/9/2010,0.10 ,0.1,0.2,0.1,216.81K,0.00%
1/8/2010,0.10 ,0.1,0.1,0,221.74K,0.00%
